id,data,categoria,severidade,status,valor_prejuizo,regiao,lat,lon,usuarios_afetados,sistema,setor,duracao_horas,tentativas,ip_origem
66,2024-10-22 04:15:00,Credential Stuffing,Médio,Resolvido,7339.42,Sul,-22.9645,-50.2037,1422,Web,Saúde,41.8,336,192.252.237.194
67,2023-11-20 04:28:00,Insider Threat,Médio,Pendente,4476.88,Centro-Oeste,-16.8608,-45.0742,2481,Web,Educação,69.7,181,192.236.231.10
68,2024-04-18 18:35:00,Ransomware,Alto,Resolvido,52831.84,Sudeste,-22.2099,-43.1576,4957,SCADA,Financeiro,19.1,32,192.175.43.130
69,2024-01-08 11:58:00,DDoS,Crítico,Em Andamento,51714.06,Norte,-2.9556,-59.3412,2772,Cloud,Financeiro,27.8,324,192.168.48.143
70,2024-08-19 21:09:00,Zero-Day,Alto,Em Andamento,152808.23,Centro-Oeste,-13.5603,-48.8998,3211,E-mail,Varejo,2.3,44,192.192.168.209
71,2024-06-04 11:01:00,DDoS,Médio,Pendente,15598.61,Centro-Oeste,-18.2393,-46.8773,1755,Network,Saúde,6.3,99,192.79.39.76
72,2024-09-24 04:38:00,Phishing,Médio,Resolvido,16269.71,Centro-Oeste,-18.5735,-48.8794,1357,Network,Governo,29.9,187,192.145.229.60
73,2024-11-25 18:28:00,Credential Stuffing,Alto,Escalado,39470.62,Norte,-0.6762,-61.8359,3129,Network,Telecomunicações,20.3,83,192.70.128.14
74,2023-05-08 09:05:00,Insider Threat,Baixo,Em Andamento,13917.14,Sudeste,-21.6316,-43.1045,4206,Network,Telecomunicações,6.9,485,192.230.178.239
75,2024-01-19 07:01:00,Ransomware,Alto,Resolvido,29109.92,Nordeste,-9.6853,-31.9328,2747,SCADA,Indústria,35.9,147,192.71.240.115
76,2024-09-15 16:27:00,Ransomware,Baixo,Resolvido,2146.68,Sul,-23.3902,-49.0072,2468,SCADA,Financeiro,8.6,328,192.56.255.153
77,2023-01-02 19:22:00,Credential Stuffing,Crítico,Resolvido,44091.5,Sul,-24.0887,-50.5524,702,ERP,Governo,21.4,489,192.240.22.163
78,2023-09-04 23:42:00,Zero-Day,Baixo,Resolvido,20984.6,Sudeste,-23.7574,-45.7946,2724,Database,Telecomunicações,7.6,174,192.237.245.162
79,2023-07-24 01:20:00,DDoS,Baixo,Resolvido,41646.46,Norte,-5.8781,-61.7905,4449,Network,Educação,19.2,332,192.182.24.222
80,2024-01-31 10:11:00,Man-in-the-Middle,Alto,Pendente,43372.98,Norte,-0.7631,-58.5402,4254,Web,Governo,13.0,218,192.92.150.83
81,2023-06-20 22:28:00,Phishing,Crítico,Em Andamento,80042.33,Nordeste,-8.4245,-33.594,2889,ERP,Financeiro,28.5,328,192.207.186.132
82,2023-05-10 02:15:00,DDoS,Baixo,Resolvido,16331.5,Centro-Oeste,-14.7315,-48.271,3137,Cloud,Governo,6.8,190,192.39.70.136
83,2023-07-10 15:33:00,Man-in-the-Middle,Alto,Em Andamento,25909.78,Sul,-22.6369,-52.1445,2145,E-mail,Indústria,98.9,110,192.251.102.32
84,2023-11-24 21:22:00,DDoS,Baixo,Resolvido,17233.57,Norte,-0.1164,-58.1369,2379,Network,Financeiro,63.1,261,192.102.71.61
85,2023-05-13 19:56:00,Insider Threat,Crítico,Em Andamento,32085.79,Nordeste,-8.2956,-32.0019,3922,Web,Saúde,24.3,422,192.162.37.116
86,2023-05-13 13:32:00,Insider Threat,Médio,Resolvido,8835.27,Centro-Oeste,-14.9612,-49.8082,1349,E-mail,Saúde,21.0,41,192.140.64.161
87,2023-06-25 21:39:00,Brute Force,Médio,Resolvido,69583.51,Sul,-24.8491,-48.8161,4618,Mobile,Varejo,37.8,108,192.15.254.228
88,2024-02-20 09:29:00,Credential Stuffing,Alto,Escalado,34616.3,Norte,-4.6307,-58.1559,1672,Cloud,Indústria,14.6,442,192.176.204.34
89,2023-09-11 04:06:00,Man-in-the-Middle,Médio,Resolvido,79890.16,Sul,-25.6012,-50.6952,1309,SCADA,Varejo,32.1,82,192.239.255.226
90,2023-08-09 18:22:00,Brute Force,Médio,Resolvido,6045.58,Norte,-3.0673,-57.1999,4895,E-mail,Varejo,133.9,241,192.4.55.111
91,2024-08-06 17:12:00,DDoS,Baixo,Em Andamento,4439.07,Norte,-3.9044,-60.5965,3165,Web,Saúde,20.7,144,192.49.201.96
92,2024-05-27 01:02:00,Man-in-the-Middle,Médio,Resolvido,80970.88,Sul,-27.2057,-49.2453,1221,Cloud,Saúde,29.3,168,192.201.153.152
93,2023-01-18 11:21:00,Man-in-the-Middle,Médio,Resolvido,51421.09,Norte,-1.8476,-61.2013,219,Network,Indústria,25.2,336,192.26.245.44
94,2023-02-02 18:44:00,Credential Stuffing,Médio,Em Andamento,14016.87,Norte,-5.2133,-58.9156,1671,SCADA,Telecomunicações,10.1,472,192.31.70.133
95,2023-06-27 14:58:00,SQL Injection,Médio,Escalado,25598.86,Norte,-2.9471,-61.1175,2166,E-mail,Varejo,25.4,127,192.152.115.242
96,2023-10-08 09:07:00,Brute Force,Médio,Em Andamento,30672.66,Norte,-4.1978,-60.9072,3233,Web,Educação,42.0,148,192.226.131.192
97,2023-05-21 03:39:00,Insider Threat,Alto,Pendente,84545.03,Nordeste,-5.5019,-33.723,416,Network,Financeiro,37.4,327,192.51.211.85
98,2023-06-11 13:41:00,Insider Threat,Crítico,Pendente,103927.19,Sudeste,-20.1129,-40.3325,2354,Web,Indústria,8.4,465,192.118.19.234
99,2024-05-22 05:59:00,DDoS,Alto,Pendente,28081.51,Sudeste,-19.917,-43.818,2445,E-mail,Governo,22.9,172,192.252.68.218
100,2024-10-25 08:45:00,Credential Stuffing,Médio,Resolvido,1895.59,Sudeste,-23.9159,-41.8133,2417,Mobile,Telecomunicações,32.4,90,192.218.167.23
101,2023-01-07 08:24:00,Zero-Day,Médio,Resolvido,2413.7,Sul,-25.5353,-46.685,2701,E-mail,Indústria,5.9,6,192.184.120.16
102,2023-11-15 22:07:00,Phishing,Médio,Resolvido,15522.27,Centro-Oeste,-13.2614,-45.5732,1095,Cloud,Governo,18.8,311,192.241.111.196
103,2024-01-06 02:58:00,SQL Injection,Médio,Em Andamento,25356.62,Sudeste,-22.747,-43.031,4487,Database,Saúde,47.8,275,192.167.226.30
104,2023-05-16 16:26:00,SQL Injection,Médio,Resolvido,20042.58,Centro-Oeste,-16.1271,-50.5662,3788,Mobile,Educação,30.8,12,192.1.111.149
105,2023-03-12 15:02:00,Phishing,Crítico,Resolvido,64533.21,Sudeste,-22.653,-45.8385,1110,Mobile,Governo,30.9,457,192.193.192.21
106,2024-06-25 04:46:00,Credential Stuffing,Crítico,Pendente,83978.01,Sudeste,-24.8292,-42.9764,3475,SCADA,Educação,27.4,127,192.79.141.49
107,2023-01-17 07:13:00,Phishing,Crítico,Em Andamento,12279.39,Centro-Oeste,-14.2037,-45.5975,3658,Network,Indústria,35.4,25,192.22.205.113
108,2023-08-28 23:36:00,SQL Injection,Médio,Pendente,8714.99,Sudeste,-25.0592,-40.2391,2627,Database,Indústria,16.4,286,192.218.253.13
109,2023-06-02 09:24:00,Man-in-the-Middle,Baixo,Em Andamento,1615.88,Centro-Oeste,-16.8876,-48.4021,1975,Database,Telecomunicações,47.3,363,192.237.29.144
110,2023-12-05 20:05:00,Zero-Day,Baixo,Em Andamento,2765.58,Sul,-26.0695,-50.77,4956,Network,Governo,81.2,97,192.106.170.78
111,2023-09-06 22:38:00,Ransomware,Alto,Resolvido,88290.34,Sudeste,-21.4187,-41.674,1961,SCADA,Varejo,29.9,195,192.183.157.67
112,2023-11-24 06:23:00,Man-in-the-Middle,Médio,Resolvido,14712.1,Sudeste,-21.0831,-41.8655,1813,Mobile,Educação,25.0,369,192.78.100.85
113,2023-12-12 08:48:00,SQL Injection,Alto,Pendente,78101.98,Norte,-2.7961,-57.3392,1379,SCADA,Saúde,37.2,72,192.30.17.215
114,2023-08-25 02:45:00,Phishing,Baixo,Em Andamento,2634.66,Sudeste,-23.4256,-41.1447,3736,SCADA,Indústria,11.4,342,192.249.8.2
115,2023-10-21 00:32:00,Credential Stuffing,Médio,Resolvido,159170.83,Centro-Oeste,-14.4668,-47.6856,1469,E-mail,Telecomunicações,9.5,270,192.181.136.204
116,2023-08-20 09:43:00,Zero-Day,Crítico,Escalado,21771.58,Norte,-2.71,-57.0586,3090,Database,Financeiro,22.1,5,192.255.222.166
117,2023-08-24 06:57:00,Man-in-the-Middle,Médio,Pendente,20891.57,Sudeste,-20.5313,-40.6851,610,ERP,Saúde,31.2,279,192.161.8.247
118,2024-07-31 07:36:00,SQL Injection,Médio,Pendente,68038.04,Norte,-0.5268,-61.2043,4429,Web,Varejo,6.2,72,192.177.27.26
119,2024-02-11 10:01:00,Zero-Day,Alto,Resolvido,157749.81,Centro-Oeste,-14.186,-45.1708,3691,Mobile,Governo,19.6,482,192.95.194.22
120,2024-10-11 04:47:00,Brute Force,Médio,Em Andamento,15437.7,Sudeste,-24.2922,-43.92,750,Web,Saúde,14.5,68,192.220.229.143
121,2024-09-04 10:55:00,Credential Stuffing,Médio,Resolvido,15778.15,Sudeste,-23.7765,-45.6416,3177,Network,Varejo,114.5,287,192.86.194.44
122,2024-03-07 09:30:00,DDoS,Alto,Resolvido,109532.62,Sul,-28.0204,-49.6919,2021,Network,Governo,42.6,316,192.54.69.78
123,2024-03-26 10:27:00,Ransomware,Baixo,Resolvido,2692.07,Centro-Oeste,-16.5207,-45.7268,3263,SCADA,Varejo,62.5,356,192.124.166.97
124,2024-07-12 05:43:00,Brute Force,Baixo,Resolvido,344.32,Sudeste,-20.3076,-45.0012,567,E-mail,Saúde,14.7,325,192.129.78.184
125,2024-06-02 22:26:00,Zero-Day,Médio,Resolvido,33837.62,Centro-Oeste,-15.9246,-48.4952,2946,Web,Financeiro,126.8,305,192.127.181.43
126,2024-03-16 03:00:00,Ransomware,Médio,Em Andamento,7615.1,Norte,-0.2991,-61.0104,4250,SCADA,Educação,27.6,114,192.200.237.198
127,2023-03-29 03:53:00,Credential Stuffing,Alto,Escalado,21637.11,Norte,-5.4727,-60.5041,1695,SCADA,Indústria,21.2,50,192.231.163.18
128,2024-11-24 05:59:00,Brute Force,Crítico,Em Andamento,49586.5,Sudeste,-20.8049,-42.3122,4587,Mobile,Indústria,15.9,409,192.94.95.164
129,2023-01-05 22:13:00,Zero-Day,Alto,Em Andamento,3818.73,Sul,-25.7025,-49.7227,513,Database,Educação,38.9,275,192.166.100.118
130,2024-02-02 19:25:00,Phishing,Alto,Pendente,57978.37,Centro-Oeste,-13.0045,-49.0196,3751,E-mail,Varejo,59.2,362,192.43.68.81
131,2024-03-04 19:08:00,Phishing,Alto,Resolvido,57529.88,Nordeste,-6.9394,-34.8351,3987,Database,Varejo,42.9,331,192.85.250.74
132,2023-01-10 15:08:00,DDoS,Alto,Pendente,15904.83,Centro-Oeste,-18.4783,-48.7458,4601,SCADA,Governo,20.5,351,192.227.250.43
133,2024-07-04 09:10:00,Phishing,Médio,Pendente,83332.17,Sul,-26.6475,-50.6509,4058,E-mail,Telecomunicações,22.1,59,192.187.21.195
134,2023-09-11 09:55:00,Insider Threat,Médio,Escalado,4020.29,Sudeste,-21.4841,-42.278,3597,Cloud,Telecomunicações,39.5,378,192.219.84.158
135,2024-09-03 17:10:00,DDoS,Médio,Pendente,6459.56,Sudeste,-22.4796,-43.0063,2371,Web,Saúde,276.2,264,192.210.30.71
136,2024-11-23 12:31:00,DDoS,Médio,Resolvido,2969.29,Sul,-24.1316,-47.3291,3394,Web,Governo,15.9,407,192.142.188.117
137,2024-11-11 22:22:00,Insider Threat,Alto,Resolvido,165486.03,Sudeste,-21.5144,-43.4493,2645,Database,Varejo,47.0,296,192.248.175.229
138,2023-06-11 14:29:00,Ransomware,Crítico,Em Andamento,15391.11,Norte,-6.0023,-57.4234,1081,E-mail,Financeiro,51.4,448,192.184.128.22
139,2024-12-17 07:27:00,Man-in-the-Middle,Médio,Em Andamento,64878.61,Sudeste,-23.522,-44.3669,9,Network,Varejo,11.8,304,192.227.4.3
140,2023-08-23 12:05:00,Man-in-the-Middle,Baixo,Escalado,11218.24,Norte,-1.9358,-60.1338,2567,Database,Indústria,14.5,196,192.73.35.136
141,2023-06-05 13:39:00,Ransomware,Médio,Resolvido,342022.75,Nordeste,-6.7654,-34.1315,711,Database,Saúde,12.9,406,192.141.43.64
142,2024-11-05 09:13:00,Credential Stuffing,Médio,Em Andamento,23730.03,Nordeste,-6.4262,-33.7571,3210,Network,Governo,13.9,460,192.197.57.62
143,2023-05-16 12:55:00,Insider Threat,Médio,Resolvido,73492.22,Sudeste,-19.9787,-40.5965,4476,Web,Financeiro,75.4,489,192.34.7.68
144,2024-05-28 13:27:00,SQL Injection,Crítico,Resolvido,173201.91,Norte,-3.0603,-59.2286,4396,E-mail,Financeiro,21.7,43,192.104.79.138
145,2023-09-02 01:15:00,Man-in-the-Middle,Alto,Em Andamento,9767.83,Sudeste,-24.039,-43.5751,3715,Database,Financeiro,24.6,342,192.6.70.180
146,2023-09-23 05:23:00,Ransomware,Alto,Escalado,104983.81,Centro-Oeste,-15.6967,-45.965,524,Cloud,Financeiro,31.0,262,192.255.85.95
147,2024-06-05 00:02:00,DDoS,Alto,Resolvido,10133.62,Centro-Oeste,-14.7553,-50.208,1230,Cloud,Saúde,58.3,115,192.213.163.70
148,2023-02-17 12:04:00,Phishing,Médio,Resolvido,49856.42,Sudeste,-24.8239,-41.374,708,E-mail,Varejo,22.0,103,192.155.124.119
149,2023-09-09 04:00:00,Man-in-the-Middle,Médio,Resolvido,27859.38,Sul,-24.0052,-49.0206,79,E-mail,Financeiro,120.0,373,192.105.121.108
150,2023-08-26 16:26:00,Insider Threat,Baixo,Escalado,12771.04,Sul,-24.1301,-51.7418,696,Mobile,Financeiro,26.6,327,192.31.222.170
151,2023-12-01 10:28:00,DDoS,Alto,Resolvido,26523.73,Nordeste,-5.5437,-35.5423,1661,Cloud,Telecomunicações,17.7,62,192.106.231.79
152,2024-12-22 22:38:00,Insider Threat,Alto,Resolvido,29823.62,Sul,-23.5544,-50.4747,2034,E-mail,Educação,76.0,26,192.89.15.244
153,2023-05-24 03:00:00,Zero-Day,Baixo,Em Andamento,3239.12,Centro-Oeste,-17.3009,-48.1277,3282,Web,Varejo,11.1,331,192.132.38.6
154,2023-12-06 03:02:00,Phishing,Alto,Em Andamento,205558.68,Sul,-27.8481,-47.2163,3236,Database,Educação,19.9,219,192.109.95.71
155,2023-10-30 15:26:00,Brute Force,Alto,Resolvido,199928.36,Centro-Oeste,-15.0849,-49.4253,719,Network,Indústria,13.0,103,192.9.195.201
156,2024-02-02 08:11:00,Man-in-the-Middle,Médio,Pendente,2086.25,Nordeste,-5.6239,-34.8856,3865,Database,Financeiro,24.9,120,192.126.123.69
157,2024-08-12 12:22:00,Credential Stuffing,Baixo,Escalado,2741.32,Sudeste,-21.3157,-40.5132,2606,ERP,Indústria,114.1,468,192.180.72.145
158,2023-02-08 02:03:00,SQL Injection,Baixo,Pendente,3266.33,Norte,-2.8473,-61.9467,4313,Network,Telecomunicações,19.0,315,192.66.174.184
159,2024-12-22 04:49:00,DDoS,Baixo,Pendente,1218.24,Nordeste,-10.7427,-37.0137,2990,Mobile,Varejo,70.9,483,192.51.172.78
160,2024-10-26 10:11:00,Man-in-the-Middle,Crítico,Resolvido,291607.2,Norte,-1.3489,-57.236,2924,Mobile,Educação,6.3,90,192.150.65.46
161,2024-08-04 01:11:00,Ransomware,Baixo,Escalado,95361.38,Norte,-0.9955,-58.375,1810,Database,Educação,26.2,255,192.39.121.89
162,2023-12-10 14:00:00,Man-in-the-Middle,Alto,Pendente,23134.64,Sudeste,-20.97,-42.1799,556,ERP,Financeiro,6.0,369,192.197.224.188
163,2024-01-20 03:53:00,Zero-Day,Baixo,Pendente,4843.73,Norte,-0.8094,-60.8926,1848,E-mail,Financeiro,46.6,164,192.37.175.44
164,2024-05-09 22:01:00,Zero-Day,Alto,Resolvido,29288.92,Sudeste,-23.8723,-40.2883,4976,Cloud,Saúde,44.4,52,192.97.209.179
165,2023-04-09 01:25:00,Credential Stuffing,Médio,Em Andamento,55413.82,Nordeste,-7.1364,-36.1156,1259,ERP,Saúde,30.4,50,192.87.149.251
166,2023-09-29 02:41:00,Phishing,Médio,Resolvido,24623.17,Norte,-3.2743,-57.6307,3125,SCADA,Governo,13.4,135,192.134.115.215
167,2024-07-08 13:48:00,Brute Force,Médio,Resolvido,33315.81,Sudeste,-25.3858,-44.1373,3172,SCADA,Varejo,51.4,275,192.120.243.77
168,2024-08-08 21:39:00,Phishing,Alto,Pendente,5617.46,Sudeste,-22.8874,-40.7973,1370,Mobile,Saúde,6.6,350,192.75.132.82
169,2024-04-14 00:50:00,Phishing,Crítico,Em Andamento,299480.45,Centro-Oeste,-16.8432,-49.2428,3438,Web,Financeiro,9.2,291,192.51.146.223
170,2024-09-15 15:02:00,Credential Stuffing,Baixo,Pendente,2133.94,Nordeste,-8.8017,-34.9865,4987,Cloud,Indústria,33.7,203,192.121.25.191
171,2023-11-15 08:53:00,Insider Threat,Baixo,Pendente,6243.15,Sudeste,-23.8728,-41.4381,805,Cloud,Educação,5.3,397,192.213.45.49
